"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Població","Superfície (ha)","Densitat (hab/ha)","Densitat neta (hab/ha)"
2010,1,"Ciutat Vella",1,"el Raval",47251,"109.8","430","949"
2010,1,"Ciutat Vella",2,"el Barri Gòtic",18530,"84.2","220","543"
2010,1,"Ciutat Vella",3,"la Barceloneta",16099,"131.4","123","1235"
2010,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",22627,"111.4","203","701"
2010,2,"Eixample",5,"el Fort Pienc",32630,"92.9","351","975"
2010,2,"Eixample",6,"la Sagrada Família",52167,"105.1","496","1007"
2010,2,"Eixample",7,"la Dreta de l'Eixample",43095,"212.3","203","378"
2010,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",41747,"123.4","338","624"
2010,2,"Eixample",9,"la Nova Esquerra de l'Eixample",58013,"133.8","434","885"
2010,2,"Eixample",10,"Sant Antoni",38133,"80.1","476","920"
2010,3,"Sants-Montjuïc",11,"el Poble Sec",40340,"460.5","88","1123"
2010,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",1139,"1428.4","1","30"
2010,3,"Sants-Montjuïc",13,"la Marina de Port",30101,"125.5","240","747"
2010,3,"Sants-Montjuïc",14,"la Font de la Guatlla",10281,"30.2","340","901"
2010,3,"Sants-Montjuïc",15,"Hostafrancs",15939,"41.0","389","716"
2010,3,"Sants-Montjuïc",16,"la Bordeta",18646,"57.7","323","902"
2010,3,"Sants-Montjuïc",17,"Sants - Badal",24343,"41.1","593","969"
2010,3,"Sants-Montjuïc",18,"Sants",42125,"109.8","384","759"
2010,4,"Les Corts",19,"les Corts",47435,"141.3","336","730"
2010,4,"Les Corts",20,"la Maternitat i Sant Ramon",23783,"190.3","125","718"
2010,4,"Les Corts",21,"Pedralbes",11665,"270.2","43","144"
2010,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",4274,"1152.4","4","47"
2010,5,"Sarrià-Sant Gervasi",23,"Sarrià",23757,"304.2","78","253"
2010,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",15741,"78.8","200","370"
2010,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",24306,"223.5","109","295"
2010,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",46305,"165.9","279","487"
2010,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",30154,"84.6","356","569"
2010,6,"Gràcia",28,"Vallcarca i els Penitents",15459,"120.9","128","339"
2010,6,"Gràcia",29,"el Coll",7240,"35.8","202","653"
2010,6,"Gràcia",30,"la Salut",13321,"64.3","207","700"
2010,6,"Gràcia",31,"la Vila de Gràcia",52311,"132.6","394","626"
2010,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",34659,"65.0","534","900"
2010,7,"Horta-Guinardó",33,"el Baix Guinardó",26022,"56.0","465","1097"
2010,7,"Horta-Guinardó",34,"Can Baró",9119,"38.4","238","608"
2010,7,"Horta-Guinardó",35,"el Guinardó",35655,"130.8","273","683"
2010,7,"Horta-Guinardó",36,"la Font d'en Fargues",9588,"65.7","146","259"
2010,7,"Horta-Guinardó",37,"el Carmel",32349,"94.2","344","851"
2010,7,"Horta-Guinardó",38,"la Teixonera",11821,"33.7","351","637"
2010,7,"Horta-Guinardó",39,"Sant Genís dels Agudells",7159,"171.6","42","396"
2010,7,"Horta-Guinardó",40,"Montbau",5256,"204.7","26","450"
2010,7,"Horta-Guinardó",41,"la Vall d'Hebron",5611,"73.6","76","689"
2010,7,"Horta-Guinardó",42,"la Clota",453,"17.8","25","74"
2010,7,"Horta-Guinardó",43,"Horta",27762,"308.2","90","440"
2010,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",25620,"56.7","452","879"
2010,8,"Nou Barris",45,"Porta",23771,"84.1","283","683"
2010,8,"Nou Barris",46,"el Turó de la Peira",16683,"35.4","471","1242"
2010,8,"Nou Barris",47,"Can Peguera",2215,"12.0","185","266"
2010,8,"Nou Barris",48,"la Guineueta",15296,"61.1","250","680"
2010,8,"Nou Barris",49,"Canyelles",7310,"79.3","92","804"
2010,8,"Nou Barris",50,"les Roquetes",15964,"64.2","249","871"
2010,8,"Nou Barris",51,"Verdun",12300,"23.7","518","845"
2010,8,"Nou Barris",52,"la Prosperitat",26575,"59.5","447","976"
2010,8,"Nou Barris",53,"la Trinitat Nova",7871,"56.0","141","626"
2010,8,"Nou Barris",54,"Torre Baró",2167,"176.8","12","100"
2010,8,"Nou Barris",55,"Ciutat Meridiana",10843,"35.5","305","716"
2010,8,"Nou Barris",56,"Vallbona",1334,"59.8","22","197"
2010,9,"Sant Andreu",57,"la Trinitat Vella",10241,"81.0","126","815"
2010,9,"Sant Andreu",58,"Baró de Viver",2393,"23.0","104","611"
2010,9,"Sant Andreu",59,"el Bon Pastor",13730,"188.2","73","854"
2010,9,"Sant Andreu",60,"Sant Andreu",55835,"184.1","303","748"
2010,9,"Sant Andreu",61,"la Sagrera",28879,"97.2","297","739"
2010,9,"Sant Andreu",62,"el Congrés i els Indians",13956,"40.7","343","691"
2010,9,"Sant Andreu",63,"Navas",21810,"42.3","515","963"
2010,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",38338,"74.2","517","892"
2010,10,"Sant Martí",65,"el Clot",27495,"69.6","395","1174"
2010,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",13468,"111.4","121","690"
2010,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",9240,"94.3","98","382"
2010,10,"Sant Martí",68,"el Poblenou",31377,"154.5","203","737"
2010,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",11262,"123.7","91","489"
2010,10,"Sant Martí",70,"el Besòs i el Maresme",23749,"127.4","186","904"
2010,10,"Sant Martí",71,"Provençals del Poblenou",19580,"110.5","177","1504"
2010,10,"Sant Martí",72,"Sant Martí de Provençals",26164,"74.5","351","1151"
2010,10,"Sant Martí",73,"la Verneda i la Pau",29460,"112.3","262","978"
"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Població","Superfície (ha)","Densitat (hab/ha)","Densitat  (hab/ha)"
2011,1,"Ciutat Vella",1,"el Raval",47700,"109.8","434","958"
2011,1,"Ciutat Vella",2,"el Barri Gòtic",17687,"84.2","210","518"
2011,1,"Ciutat Vella",3,"la Barceloneta",15766,"131.4","120","1210"
2011,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",22410,"111.4","201","694"
2011,2,"Eixample",5,"el Fort Pienc",32384,"92.9","349","970"
2011,2,"Eixample",6,"la Sagrada Família",52009,"105.1","495","1010"
2011,2,"Eixample",7,"la Dreta de l'Eixample",42910,"212.3","202","377"
2011,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",41466,"123.4","336","619"
2011,2,"Eixample",9,"la Nova Esquerra de l'Eixample",57706,"133.8","431","880"
2011,2,"Eixample",10,"Sant Antoni",38002,"80.1","474","916"
2011,3,"Sants-Montjuïc",11,"el Poble Sec",40547,"460.5","88","1129"
2011,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",1124,"1428.4","1","31"
2011,3,"Sants-Montjuïc",13,"la Marina de Port",30243,"125.5","241","752"
2011,3,"Sants-Montjuïc",14,"la Font de la Guatlla",10223,"30.2","338","896"
2011,3,"Sants-Montjuïc",15,"Hostafrancs",15845,"41.0","386","708"
2011,3,"Sants-Montjuïc",16,"la Bordeta",18499,"57.7","321","895"
2011,3,"Sants-Montjuïc",17,"Sants - Badal",24360,"41.1","593","969"
2011,3,"Sants-Montjuïc",18,"Sants",41976,"109.8","382","756"
2011,4,"Les Corts",19,"les Corts",47173,"141.3","334","726"
2011,4,"Les Corts",20,"la Maternitat i Sant Ramon",23622,"190.3","124","723"
2011,4,"Les Corts",21,"Pedralbes",11641,"270.2","43","143"
2011,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",4299,"1152.2","4","48"
2011,5,"Sarrià-Sant Gervasi",23,"Sarrià",23946,"304.2","79","255"
2011,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",15770,"78.8","200","371"
2011,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",24330,"223.5","109","295"
2011,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",46217,"165.9","279","484"
2011,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",29992,"84.6","354","564"
2011,6,"Gràcia",28,"Vallcarca i els Penitents",15417,"120.9","128","328"
2011,6,"Gràcia",29,"el Coll",7303,"35.8","204","589"
2011,6,"Gràcia",30,"la Salut",13154,"64.4","204","678"
2011,6,"Gràcia",31,"la Vila de Gràcia",51228,"132.6","386","613"
2011,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",34438,"65.0","530","895"
2011,7,"Horta-Guinardó",33,"el Baix Guinardó",26022,"56.0","465","1097"
2011,7,"Horta-Guinardó",34,"Can Baró",8928,"38.4","233","623"
2011,7,"Horta-Guinardó",35,"el Guinardó",35687,"130.8","273","682"
2011,7,"Horta-Guinardó",36,"la Font d'en Fargues",9530,"65.7","145","241"
2011,7,"Horta-Guinardó",37,"el Carmel",32108,"94.2","341","822"
2011,7,"Horta-Guinardó",38,"la Teixonera",11796,"33.7","350","626"
2011,7,"Horta-Guinardó",39,"Sant Genís dels Agudells",7035,"171.6","41","389"
2011,7,"Horta-Guinardó",40,"Montbau",5211,"204.7","25","446"
2011,7,"Horta-Guinardó",41,"la Vall d'Hebron",5580,"73.6","76","685"
2011,7,"Horta-Guinardó",42,"la Clota",462,"17.8","26","75"
2011,7,"Horta-Guinardó",43,"Horta",27537,"308.2","89","435"
2011,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",25429,"56.7","448","873"
2011,8,"Nou Barris",45,"Porta",23780,"84.1","283","683"
2011,8,"Nou Barris",46,"el Turó de la Peira",16726,"35.4","472","1246"
2011,8,"Nou Barris",47,"Can Peguera",2240,"12.0","187","270"
2011,8,"Nou Barris",48,"la Guineueta",15268,"61.1","250","679"
2011,8,"Nou Barris",49,"Canyelles",7240,"79.3","91","796"
2011,8,"Nou Barris",50,"les Roquetes",15987,"64.2","249","872"
2011,8,"Nou Barris",51,"Verdun",12308,"23.7","518","845"
2011,8,"Nou Barris",52,"la Prosperitat",26566,"59.5","447","975"
2011,8,"Nou Barris",53,"la Trinitat Nova",7704,"56.0","138","613"
2011,8,"Nou Barris",54,"Torre Baró",2172,"176.8","12","101"
2011,8,"Nou Barris",55,"Ciutat Meridiana",10874,"35.5","306","718"
2011,8,"Nou Barris",56,"Vallbona",1343,"59.8","22","199"
2011,9,"Sant Andreu",57,"la Trinitat Vella",10385,"81.0","128","816"
2011,9,"Sant Andreu",58,"Baró de Viver",2414,"23.0","105","617"
2011,9,"Sant Andreu",59,"el Bon Pastor",13597,"188.2","72","846"
2011,9,"Sant Andreu",60,"Sant Andreu",56103,"184.1","305","746"
2011,9,"Sant Andreu",61,"la Sagrera",29138,"97.2","300","739"
2011,9,"Sant Andreu",62,"el Congrés i els Indians",14011,"40.7","344","694"
2011,9,"Sant Andreu",63,"Navas",21722,"42.3","513","959"
2011,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",37969,"74.2","512","884"
2011,10,"Sant Martí",65,"el Clot",27379,"69.6","393","1159"
2011,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",13736,"111.4","123","699"
2011,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",9252,"94.3","98","383"
2011,10,"Sant Martí",68,"el Poblenou",32089,"154.5","208","753"
2011,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",12008,"123.7","97","522"
2011,10,"Sant Martí",70,"el Besòs i el Maresme",23948,"127.4","188","906"
2011,10,"Sant Martí",71,"Provençals del Poblenou",19560,"110.5","177","1451"
2011,10,"Sant Martí",72,"Sant Martí de Provençals",26164,"74.5","351","1151"
2011,10,"Sant Martí",73,"la Verneda i la Pau",29053,"112.3","259","964"
2012,1,"Ciutat Vella",1,"el Raval",49027,"109.8","446","984"
2012,1,"Ciutat Vella",2,"el Barri Gòtic",16908,"84.2","201","495"
2012,1,"Ciutat Vella",3,"la Barceloneta",15729,"131.4","120","1202"
2012,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",22778,"111.4","204","705"
2012,2,"Eixample",5,"el Fort Pienc",32296,"92.9","348","967"
2012,2,"Eixample",6,"la Sagrada Família",52109,"105.1","496","1012"
2012,2,"Eixample",7,"la Dreta de l'Eixample",43355,"212.3","204","381"
2012,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",41785,"123.4","338","624"
2012,2,"Eixample",9,"la Nova Esquerra de l'Eixample",57911,"133.8","433","884"
2012,2,"Eixample",10,"Sant Antoni",38372,"80.1","479","925"
2012,3,"Sants-Montjuïc",11,"el Poble Sec",41258,"460.5","90","1149"
2012,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",1153,"1428.4","1","31"
2012,3,"Sants-Montjuïc",13,"la Marina de Port",30458,"125.5","243","779"
2012,3,"Sants-Montjuïc",14,"la Font de la Guatlla",10285,"30.2","340","902"
2012,3,"Sants-Montjuïc",15,"Hostafrancs",16044,"41.0","391","716"
2012,3,"Sants-Montjuïc",16,"la Bordeta",18614,"57.7","323","902"
2012,3,"Sants-Montjuïc",17,"Sants - Badal",24611,"41.1","599","979"
2012,3,"Sants-Montjuïc",18,"Sants",41649,"109.8","379","750"
2012,4,"Les Corts",19,"les Corts",46875,"141.3","332","721"
2012,4,"Les Corts",20,"la Maternitat i Sant Ramon",23780,"190.3","125","728"
2012,4,"Les Corts",21,"Pedralbes",11765,"270.2","44","144"
2012,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",4410,"1152.2","4","49"
2012,5,"Sarrià-Sant Gervasi",23,"Sarrià",24306,"304.2","80","259"
2012,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",15936,"78.8","202","375"
2012,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",24553,"223.5","110","299"
2012,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",46411,"165.9","280","486"
2012,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",29775,"84.6","352","560"
2012,6,"Gràcia",28,"Vallcarca i els Penitents",15499,"120.9","128","330"
2012,6,"Gràcia",29,"el Coll",7308,"35.8","204","589"
2012,6,"Gràcia",30,"la Salut",13212,"64.3","205","676"
2012,6,"Gràcia",31,"la Vila de Gràcia",51147,"132.6","386","613"
2012,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",34760,"65.0","535","903"
2012,7,"Horta-Guinardó",33,"el Baix Guinardó",25918,"56.0","463","1092"
2012,7,"Horta-Guinardó",34,"Can Baró",9005,"38.4","235","628"
2012,7,"Horta-Guinardó",35,"el Guinardó",35664,"130.8","273","682"
2012,7,"Horta-Guinardó",36,"la Font d'en Fargues",9569,"65.7","146","242"
2012,7,"Horta-Guinardó",37,"el Carmel",32012,"94.2","340","578"
2012,7,"Horta-Guinardó",38,"la Teixonera",11776,"33.7","349","625"
2012,7,"Horta-Guinardó",39,"Sant Genís dels Agudells",6985,"171.6","41","386"
2012,7,"Horta-Guinardó",40,"Montbau",5144,"204.7","25","441"
2012,7,"Horta-Guinardó",41,"la Vall d'Hebron",5569,"73.6","76","683"
2012,7,"Horta-Guinardó",42,"la Clota",452,"17.8","25","74"
2012,7,"Horta-Guinardó",43,"Horta",27013,"308.2","88","426"
2012,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",25540,"56.7","450","876"
2012,8,"Nou Barris",45,"Porta",24222,"84.1","288","696"
2012,8,"Nou Barris",46,"el Turó de la Peira",16184,"35.4","457","1205"
2012,8,"Nou Barris",47,"Can Peguera",2239,"12.0","187","269"
2012,8,"Nou Barris",48,"la Guineueta",15185,"61.1","248","675"
2012,8,"Nou Barris",49,"Canyelles",7197,"79.3","91","792"
2012,8,"Nou Barris",50,"les Roquetes",16042,"64.2","250","875"
2012,8,"Nou Barris",51,"Verdun",12453,"23.7","524","855"
2012,8,"Nou Barris",52,"la Prosperitat",26471,"59.5","445","972"
2012,8,"Nou Barris",53,"la Trinitat Nova",7627,"56.0","136","607"
2012,8,"Nou Barris",54,"Torre Baró",2173,"176.8","12","101"
2012,8,"Nou Barris",55,"Ciutat Meridiana",10748,"35.5","302","710"
2012,8,"Nou Barris",56,"Vallbona",1338,"59.8","22","198"
2012,9,"Sant Andreu",57,"la Trinitat Vella",10387,"81.0","128","818"
2012,9,"Sant Andreu",58,"Baró de Viver",2412,"23.0","105","616"
2012,9,"Sant Andreu",59,"el Bon Pastor",13203,"188.2","70","821"
2012,9,"Sant Andreu",60,"Sant Andreu",56297,"184.1","306","749"
2012,9,"Sant Andreu",61,"la Sagrera",29110,"97.2","299","736"
2012,9,"Sant Andreu",62,"el Congrés i els Indians",14129,"40.7","347","699"
2012,9,"Sant Andreu",63,"Navas",21915,"42.3","518","974"
2012,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",38186,"74.2","515","889"
2012,10,"Sant Martí",65,"el Clot",27325,"69.6","393","1157"
2012,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",14043,"111.4","126","715"
2012,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",9249,"94.3","98","382"
2012,10,"Sant Martí",68,"el Poblenou",32552,"154.5","211","764"
2012,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",12522,"123.7","101","544"
2012,10,"Sant Martí",70,"el Besòs i el Maresme",23725,"127.4","186","901"
2012,10,"Sant Martí",71,"Provençals del Poblenou",19887,"110.5","180","1475"
2012,10,"Sant Martí",72,"Sant Martí de Provençals",26151,"74.5","351","1151"
2012,10,"Sant Martí",73,"la Verneda i la Pau",29245,"112.3","260","971"
2013,1,"Ciutat Vella",1,"el Raval",48800,"109.8","444","983"
2013,1,"Ciutat Vella",2,"el Barri Gòtic",16267,"84.2","193","477"
2013,1,"Ciutat Vella",3,"la Barceloneta",15503,"131.4","118","1185"
2013,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",22769,"111.4","204","705"
2013,2,"Eixample",5,"el Fort Pienc",31738,"92.9","342","950"
2013,2,"Eixample",6,"la Sagrada Família",51806,"105.1","493","1006"
2013,2,"Eixample",7,"la Dreta de l'Eixample",43384,"212.3","204","381"
2013,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",41773,"123.4","338","624"
2013,2,"Eixample",9,"la Nova Esquerra de l'Eixample",57819,"133.8","432","880"
2013,2,"Eixample",10,"Sant Antoni",38260,"80.1","478","923"
2013,3,"Sants-Montjuïc",11,"el Poble Sec",40984,"460.5","89","1141"
2013,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",1172,"1428.4","1","32"
2013,3,"Sants-Montjuïc",13,"la Marina de Port",30271,"125.5","241","774"
2013,3,"Sants-Montjuïc",14,"la Font de la Guatlla",10313,"30.2","341","904"
2013,3,"Sants-Montjuïc",15,"Hostafrancs",15960,"41.0","389","713"
2013,3,"Sants-Montjuïc",16,"la Bordeta",18577,"57.7","322","900"
2013,3,"Sants-Montjuïc",17,"Sants - Badal",24351,"41.1","593","969"
2013,3,"Sants-Montjuïc",18,"Sants",41057,"109.8","374","739"
2013,4,"Les Corts",19,"les Corts",46183,"141.3","327","712"
2013,4,"Les Corts",20,"la Maternitat i Sant Ramon",23667,"190.3","124","724"
2013,4,"Les Corts",21,"Pedralbes",11790,"270.2","44","145"
2013,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",4437,"1152.2","4","50"
2013,5,"Sarrià-Sant Gervasi",23,"Sarrià",24450,"304.2","80","260"
2013,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",15984,"78.8","203","376"
2013,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",24607,"223.5","110","300"
2013,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",46486,"165.9","280","487"
2013,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",29302,"84.6","346","551"
2013,6,"Gràcia",28,"Vallcarca i els Penitents",15453,"120.9","128","329"
2013,6,"Gràcia",29,"el Coll",7232,"35.8","202","583"
2013,6,"Gràcia",30,"la Salut",13210,"64.3","205","681"
2013,6,"Gràcia",31,"la Vila de Gràcia",50615,"132.6","382","606"
2013,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",34439,"65.0","530","895"
2013,7,"Horta-Guinardó",33,"el Baix Guinardó",25641,"56.0","458","1081"
2013,7,"Horta-Guinardó",34,"Can Baró",8969,"38.4","234","625"
2013,7,"Horta-Guinardó",35,"el Guinardó",35679,"130.8","273","682"
2013,7,"Horta-Guinardó",36,"la Font d'en Fargues",9490,"65.7","144","240"
2013,7,"Horta-Guinardó",37,"el Carmel",31789,"94.2","338","813"
2013,7,"Horta-Guinardó",38,"la Teixonera",11654,"33.7","346","619"
2013,7,"Horta-Guinardó",39,"Sant Genís dels Agudells",6935,"171.6","40","383"
2013,7,"Horta-Guinardó",40,"Montbau",5111,"204.7","25","438"
2013,7,"Horta-Guinardó",41,"la Vall d'Hebron",5494,"73.6","75","674"
2013,7,"Horta-Guinardó",42,"la Clota",438,"17.8","25","72"
2013,7,"Horta-Guinardó",43,"Horta",26543,"308.2","86","419"
2013,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",25543,"56.7","450","881"
2013,8,"Nou Barris",45,"Porta",24193,"84.1","288","695"
2013,8,"Nou Barris",46,"el Turó de la Peira",15593,"35.4","440","1161"
2013,8,"Nou Barris",47,"Can Peguera",2230,"12.0","187","268"
2013,8,"Nou Barris",48,"la Guineueta",15117,"61.1","247","672"
2013,8,"Nou Barris",49,"Canyelles",7102,"79.3","90","781"
2013,8,"Nou Barris",50,"les Roquetes",15768,"64.2","246","860"
2013,8,"Nou Barris",51,"Verdun",12329,"23.7","519","847"
2013,8,"Nou Barris",52,"la Prosperitat",26299,"59.5","442","965"
2013,8,"Nou Barris",53,"la Trinitat Nova",7551,"56.0","135","601"
2013,8,"Nou Barris",54,"Torre Baró",2192,"176.8","12","101"
2013,8,"Nou Barris",55,"Ciutat Meridiana",10485,"35.5","295","692"
2013,8,"Nou Barris",56,"Vallbona",1346,"59.8","23","199"
2013,9,"Sant Andreu",57,"la Trinitat Vella",10423,"81.0","129","821"
2013,9,"Sant Andreu",58,"Baró de Viver",2415,"23.0","105","617"
2013,9,"Sant Andreu",59,"el Bon Pastor",12800,"188.2","68","796"
2013,9,"Sant Andreu",60,"Sant Andreu",56476,"184.1","307","735"
2013,9,"Sant Andreu",61,"la Sagrera",28911,"97.2","297","733"
2013,9,"Sant Andreu",62,"el Congrés i els Indians",14010,"40.7","344","731"
2013,9,"Sant Andreu",63,"Navas",21811,"42.3","515","969"
2013,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",37933,"74.2","511","883"
2013,10,"Sant Martí",65,"el Clot",27169,"69.6","390","1150"
2013,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",14355,"111.4","129","731"
2013,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",9319,"94.3","99","385"
2013,10,"Sant Martí",68,"el Poblenou",32838,"154.5","213","771"
2013,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",12894,"123.7","104","560"
2013,10,"Sant Martí",70,"el Besòs i el Maresme",23118,"127.4","181","878"
2013,10,"Sant Martí",71,"Provençals del Poblenou",20052,"110.5","181","1487"
2013,10,"Sant Martí",72,"Sant Martí de Provençals",25994,"74.5","349","1144"
2013,10,"Sant Martí",73,"la Verneda i la Pau",29154,"112.3","260","899"
2014,1,"Ciutat Vella",1,"el Raval",47489,"109.8","432","956"
2014,1,"Ciutat Vella",2,"el Barri Gòtic",15734,"84.2","187","461"
